train_years,train_range,position,test_correlation,n_train
1,2023-2023,RB,0.505769866418627,1403
1,2023-2023,WR,0.4450905117488969,2322
1,2023-2023,TE,0.43474618158078415,1122
2,2022-2023,RB,0.5026604951692619,2855
2,2022-2023,WR,0.4458067038852672,4551
2,2022-2023,TE,0.4346911717602913,2270
3,2021-2023,RB,0.49907346697280314,4283
3,2021-2023,WR,0.4454048485514414,6859
3,2021-2023,TE,0.43455491616638126,3381
4,2020-2023,RB,0.4997828959368325,5683
4,2020-2023,WR,0.44557775806670846,9024
4,2020-2023,TE,0.43521047964772513,4462
5,2019-2023,RB,0.4997828959368325,5683
5,2019-2023,WR,0.44557775806670846,9024
5,2019-2023,TE,0.43521047964772513,4462
