train_years,train_start,train_end,test_year,n_train,n_test,train_correlation,test_correlation,train_rmse,test_rmse,overfit_ratio,position
1,2023,2023,2024,1369,1368,0.8409,0.5453,4.39,6.83,1.542,RB
2,2022,2023,2024,2787,1368,0.7479,0.5754,5.28,6.59,1.3,RB
3,2021,2023,2024,4179,1368,0.6962,0.5776,5.74,6.57,1.205,RB
4,2020,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
5,2019,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
6,2018,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
7,2017,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
8,2016,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
9,2015,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
10,2014,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
11,2013,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
12,2012,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
13,2011,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
14,2010,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
15,2009,2023,2024,5549,1368,0.6629,0.5914,5.99,6.49,1.121,RB
1,2023,2023,2024,2278,2182,0.7549,0.4781,5.22,6.93,1.579,WR
2,2022,2023,2024,4448,2182,0.665,0.4955,5.84,6.8,1.342,WR
3,2021,2023,2024,6706,2182,0.6319,0.5,6.07,6.77,1.264,WR
4,2020,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
5,2019,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
6,2018,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
7,2017,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
8,2016,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
9,2015,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
10,2014,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
11,2013,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
12,2012,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
13,2011,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
14,2010,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
15,2009,2023,2024,8829,2182,0.6019,0.5086,6.3,6.73,1.183,WR
1,2023,2023,2024,1097,1017,0.82,0.4669,3.56,5.46,1.756,TE
2,2022,2023,2024,2220,1017,0.7213,0.4761,4.24,5.39,1.515,TE
3,2021,2023,2024,3299,1017,0.6948,0.4711,4.4,5.41,1.475,TE
4,2020,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
5,2019,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
6,2018,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
7,2017,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
8,2016,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
9,2015,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
10,2014,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
11,2013,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
12,2012,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
13,2011,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
14,2010,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
15,2009,2023,2024,4351,1017,0.6599,0.5012,4.63,5.29,1.317,TE
1,2023,2023,2024,876,934,0.8676,0.5304,4.58,7.47,1.636,QB
2,2022,2023,2024,1521,934,0.7948,0.5326,5.48,7.42,1.492,QB
3,2021,2023,2024,2192,934,0.7394,0.5559,6.06,7.26,1.33,QB
4,2020,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
5,2019,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
6,2018,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
7,2017,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
8,2016,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
9,2015,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
10,2014,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
11,2013,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
12,2012,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
13,2011,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
14,2010,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
15,2009,2023,2024,2833,934,0.7139,0.5597,6.43,7.22,1.275,QB
